"filename", "language", "vue", "JavaScript", "comment", "blank", "total"
"/Users/looong/Desktop/restart/first-step/src/App.vue", "vue", 56, 0, 0, 5, 61
"/Users/looong/Desktop/restart/first-step/src/Dashboard/Dashboard.vue", "vue", 185, 0, 0, 32, 217
"/Users/looong/Desktop/restart/first-step/src/Home/Home.vue", "vue", 144, 0, 0, 25, 169
"/Users/looong/Desktop/restart/first-step/src/Login/Login.vue", "vue", 141, 0, 4, 25, 170
"/Users/looong/Desktop/restart/first-step/src/Setting/Settings.vue", "vue", 163, 0, 0, 27, 190
"/Users/looong/Desktop/restart/first-step/src/UserList/UserList.vue", "vue", 571, 0, 11, 65, 647
"/Users/looong/Desktop/restart/first-step/src/api/auth.js", "JavaScript", 0, 5, 0, 2, 7
"/Users/looong/Desktop/restart/first-step/src/api/getEchart.js", "JavaScript", 0, 54, 0, 4, 58
"/Users/looong/Desktop/restart/first-step/src/api/request.js", "JavaScript", 0, 28, 4, 7, 39
"/Users/looong/Desktop/restart/first-step/src/api/user.js", "JavaScript", 0, 16, 6, 6, 28
"/Users/looong/Desktop/restart/first-step/src/config/axios-baseURL.js", "JavaScript", 0, 4, 0, 1, 5
"/Users/looong/Desktop/restart/first-step/src/main.js", "JavaScript", 0, 10, 0, 2, 12
"/Users/looong/Desktop/restart/first-step/src/request/auth-storage.js", "JavaScript", 0, 31, 0, 10, 41
"/Users/looong/Desktop/restart/first-step/src/router/index.js", "JavaScript", 0, 44, 0, 10, 54
"/Users/looong/Desktop/restart/first-step/src/stores/userlist.js", "JavaScript", 0, 79, 16, 19, 114
"Total", "-", 1260, 271, 41, 240, 1812